Datetime,Open,High,Low,Close,Adj Close,Volume
2023-04-02 08:00:00+00:00,28422.830078125,28424.40234375,28411.7890625,28411.7890625,28411.7890625,0
2023-04-02 08:05:00+00:00,28418.931640625,28420.66015625,28409.955078125,28420.66015625,28420.66015625,2186240
2023-04-02 08:10:00+00:00,28416.392578125,28416.392578125,28403.578125,28403.578125,28403.578125,237568
2023-04-02 08:15:00+00:00,28398.837890625,28405.724609375,28383.673828125,28405.724609375,28405.724609375,10641408
2023-04-02 08:20:00+00:00,28407.123046875,28411.80078125,28403.34375,28411.15234375,28411.15234375,0
2023-04-02 08:25:00+00:00,28411.423828125,28412.7734375,28409.416015625,28412.7734375,28412.7734375,3470336
2023-04-02 08:30:00+00:00,28411.576171875,28411.740234375,28408.37890625,28411.560546875,28411.560546875,0
2023-04-02 08:35:00+00:00,28410.42578125,28410.42578125,28383.013671875,28383.013671875,28383.013671875,2178048
2023-04-02 08:40:00+00:00,28386.451171875,28388.490234375,28385.205078125,28388.490234375,28388.490234375,7573504
2023-04-02 08:45:00+00:00,28389.853515625,28389.853515625,28372.638671875,28374.712890625,28374.712890625,4040704
2023-04-02 08:50:00+00:00,28374.32421875,28386.96875,28372.173828125,28386.96875,28386.96875,94208
2023-04-02 08:55:00+00:00,28376.603515625,28383.443359375,28376.603515625,28380.359375,28380.359375,141312
2023-04-02 09:00:00+00:00,28381.09765625,28382.00390625,28380.478515625,28381.638671875,28381.638671875,0
2023-04-02 09:05:00+00:00,28377.74609375,28377.74609375,28370.87890625,28377.2265625,28377.2265625,1006592
2023-04-02 09:10:00+00:00,28385.611328125,28398.306640625,28385.611328125,28398.306640625,28398.306640625,2744320
2023-04-02 09:15:00+00:00,28392.16015625,28392.49609375,28391.123046875,28391.607421875,28391.607421875,11831296
2023-04-02 09:20:00+00:00,28389.75390625,28400.828125,28389.75390625,28400.828125,28400.828125,1417216
2023-04-02 09:25:00+00:00,28411.134765625,28411.134765625,28408.953125,28408.953125,28408.953125,11616256
2023-04-02 09:30:00+00:00,28406.37890625,28406.37890625,28397.0390625,28399.00390625,28399.00390625,2412544
2023-04-02 09:35:00+00:00,28399.4765625,28405.802734375,28398.2890625,28405.802734375,28405.802734375,0
2023-04-02 09:40:00+00:00,28409.01171875,28409.01171875,28405.73828125,28406.361328125,28406.361328125,4225024
2023-04-02 09:45:00+00:00,28406.697265625,28425.01171875,28404.951171875,28425.01171875,28425.01171875,16698368
2023-04-02 09:50:00+00:00,28426.857421875,28434.978515625,28423.8671875,28423.9375,28423.9375,9053184
2023-04-02 09:55:00+00:00,28421.587890625,28421.587890625,28412.328125,28412.328125,28412.328125,3142656
